id_evento,tema_principal,tema_0,tema_1,tema_2
2104/13,2,0.0001,0.083,0.9169
2131/13,0,0.9865,0.0001,0.0134
2130/13,2,0.2446,0.2365,0.5189
2169/13,2,0.0283,0.2863,0.6854
2164/13,2,0.0001,0.187,0.813
2196/13,0,0.9529,0.0001,0.047
2194/13,2,0.439,0.0001,0.5609
2187/13,0,0.9997,0.0002,0.0001
2231/13,2,0.0001,0.0701,0.9298
2212/13,0,0.776,0.004,0.22
2250/13,0,0.9998,0.0001,0.0001
2271/13,1,0.0001,0.7839,0.216
2265/13,0,0.9997,0.0002,0.0002
0091/14,1,0.0003,0.9994,0.0003
0110/14,2,0.0052,0.3089,0.6859
0095/14,1,0.0001,0.7158,0.2842
0160/14,2,0.0358,0.0189,0.9453
0147/14,1,0.0262,0.9439,0.03
0179/14,1,0.0001,0.6686,0.3313
0177/14,0,0.9803,0.0196,0.0001
0211/14,2,0.0001,0.1303,0.8696
0194/14,1,0.0364,0.6094,0.3542
0227/14,0,0.9919,0.0001,0.008
0238/14,0,0.9525,0.0001,0.0474
0237/14,2,0.0016,0.0031,0.9953
0312/14,0,0.9995,0.0004,0.0001
0342/14,2,0.0077,0.0112,0.9811
0325/14,1,0.0973,0.855,0.0477
0353/14,2,0.0001,0.0001,0.9999
0371/14,0,0.9996,0.0002,0.0002
0378/14,2,0.0005,0.0001,0.9994
0383/14,0,0.7807,0.0168,0.2026
0404/14,2,0.1097,0.0226,0.8678
0429/14,2,0.1775,0.0086,0.8139
0480/14,2,0.479,0.0032,0.5178
0444/14,0,0.9654,0.0001,0.0346
0490/14,0,0.9987,0.0012,0.0001
0546/14,2,0.0672,0.0001,0.9327
0539/14,2,0.0,0.0,0.9999
0551/14,0,0.9997,0.0002,0.0002
0622/14,0,0.8722,0.0179,0.1099
0665/14,2,0.1454,0.0001,0.8545
0685/14,2,0.0497,0.0001,0.9502
0701/14,0,0.7115,0.0473,0.2413
0743/14,2,0.0001,0.0164,0.9835
0768/14,2,0.0001,0.0177,0.9822
0800/14,2,0.3814,0.0001,0.6185
0791/14,2,0.2164,0.0057,0.7778
0788/14,1,0.0898,0.839,0.0712
0828/14,2,0.0122,0.0001,0.9877
0778/14,2,0.0214,0.0,0.9786
0816/14,0,0.6277,0.1266,0.2457
0815/14,1,0.0159,0.9711,0.013
0776/14,2,0.0001,0.0001,0.9998
0853/14,2,0.004,0.0001,0.9959
0847/14,0,0.9998,0.0001,0.0001
0873/14,1,0.0002,0.9692,0.0306
0867/14,0,0.9429,0.0002,0.0569
0895/14,1,0.0063,0.9935,0.0002
0892/14,0,0.8207,0.0001,0.1792
0909/14,0,0.7839,0.0106,0.2055
0924/14,1,0.0246,0.9411,0.0342
0922/14,0,0.9996,0.0002,0.0002
0921/14,2,0.0405,0.0001,0.9594
0919/14,2,0.0001,0.2704,0.7295
0940/14,2,0.0957,0.0001,0.9042
0933/14,1,0.0002,0.9996,0.0002
0964/14,1,0.0332,0.9667,0.0001
0977/14,0,0.9695,0.0087,0.0218
1060/14,0,0.5488,0.4146,0.0366
1075/14,1,0.0149,0.9712,0.0139
1114/14,1,0.0007,0.9987,0.0007
1109/14,1,0.0001,0.8983,0.1016
1120/14,0,0.7081,0.0136,0.2784
1115/14,1,0.0087,0.958,0.0334
1174/14,2,0.0643,0.4565,0.4793
1203/14,2,0.011,0.0001,0.9889
1202/14,0,0.973,0.0207,0.0063
1222/14,0,0.8943,0.0001,0.1056
1218/14,0,0.6079,0.0112,0.3809
1225/14,0,0.9566,0.0323,0.011
1259/14,0,0.5569,0.0751,0.3679
1242/14,0,0.7966,0.0002,0.2032
1270/14,0,0.9,0.0001,0.0999
1271/14,2,0.0023,0.0001,0.9975
1298/14,2,0.0001,0.0267,0.9733
1291/14,0,0.823,0.0203,0.1567
1308/14,0,0.6489,0.0004,0.3508
1329/14,0,0.999,0.0001,0.0009
1358/14,1,0.0142,0.8143,0.1715
0045/15,1,0.0041,0.9161,0.0797
0049/15,1,0.0007,0.9992,0.0001
0048/15,1,0.0267,0.9723,0.001
0089/15,1,0.0001,0.7557,0.2442
0102/15,1,0.0217,0.9173,0.061
0131/15,1,0.0215,0.8574,0.1211
0146/15,0,0.7026,0.0802,0.2172
0138/15,1,0.0001,0.5059,0.494
0178/15,2,0.0066,0.0002,0.9932
0153/15,1,0.0221,0.9566,0.0213
0163/15,0,0.9999,0.0001,0.0001
0186/15,1,0.0002,0.9902,0.0096
0189/15,0,0.9998,0.0001,0.0001
0196/15,2,0.0,0.4989,0.5011
0217/15,0,0.9229,0.0077,0.0695
0200/15,1,0.0001,0.6053,0.3947
0230/15,0,0.9999,0.0001,0.0001
0221/15,1,0.0042,0.9957,0.0001
0234/15,1,0.0002,0.9997,0.0001
0279/15,2,0.0221,0.0067,0.9712
0266/15,1,0.0376,0.9623,0.0001
0296/15,1,0.0001,0.8948,0.1051
